Registro,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Driver,CurrentWeight,Componente,KM_Lap,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Event,AVG
166,107.442,2,1,MEDIUM,5,Mercedes,BOT,858.3703704,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2078947
167,106.669,3,1,MEDIUM,6,Mercedes,BOT,856.5555556,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.56735
168,106.766,4,1,MEDIUM,7,Mercedes,BOT,854.7407407,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.6763
169,104.794,5,1,MEDIUM,8,Mercedes,BOT,852.9259259,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.9136
170,105.256,6,1,MEDIUM,9,Mercedes,BOT,851.1111111,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8169
171,104.608,7,1,MEDIUM,10,Mercedes,BOT,849.2962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.32185
172,104.237,8,1,MEDIUM,11,Mercedes,BOT,847.4814815,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.3538
173,104.742,9,1,MEDIUM,12,Mercedes,BOT,845.6666667,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,107.17985
174,105.173,10,1,MEDIUM,13,Mercedes,BOT,843.8518519,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.12195
175,105.062,11,1,MEDIUM,14,Mercedes,BOT,842.037037,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.1817
176,104.139,12,1,MEDIUM,15,Mercedes,BOT,840.2222222,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2843
177,103.95,13,1,MEDIUM,16,Mercedes,BOT,838.4074074,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,108.3069
178,104.362,14,1,MEDIUM,17,Mercedes,BOT,836.5925926,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.7215
179,104.608,15,1,MEDIUM,18,Mercedes,BOT,834.7777778,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.92595
180,104.406,16,1,MEDIUM,19,Mercedes,BOT,832.962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.91625
181,105.423,17,1,MEDIUM,20,Mercedes,BOT,831.1481481,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.18495
182,103.384,18,1,MEDIUM,21,Mercedes,BOT,829.3333333,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.2259
